,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
13,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_064727.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",8671,10377,1706,2,83.99765533411488,8.47010550996483,83.9976553341149,83.9976553341149
15,CDS,"product (glycine--tRNA ligase subunit beta), EC_number (6.1.1.14), transl_table (11), protein_id (ref|NP_064728.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",10434,12488,2054,1,7.887049659201558,7.887049659201558,7.887049659201558,7.887049659201558
17,CDS,"product (glycine--tRNA ligase subunit alpha), EC_number (6.1.1.14), transl_table (11), protein_id (ref|NP_064729.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",12488,13435,947,1,19.32418162618796,19.32418162618796,19.32418162618796,19.32418162618796
49,CDS,"product (shikimate dehydrogenase), EC_number (1.1.1.25), transl_table (11), protein_id (ref|NP_248715.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",26711,27535,824,1,37.37864077669903,37.37864077669903,37.37864077669903,37.37864077669903
58,CDS,"product (sulfate transporter), transl_table (11), protein_id (ref|NP_248719.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",30502,32055,1553,1,12.16999356084997,12.16999356084997,12.16999356084997,12.16999356084997
87,CDS,"product (hemagglutinin), transl_table (11), protein_id (ref|NP_248731.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",42914,53521,10607,3,5.109833129065711,3.846516451400019,22.33430753276138,22.33430753276138
93,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248733.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",57212,58594,1382,1,37.77134587554269,37.77134587554269,37.77134587554269,37.77134587554269
97,CDS,"product (exoenzyme T), transl_table (11), protein_id (ref|NP_248734.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",58786,60159,1373,1,10.92498179169701,10.92498179169701,10.92498179169701,10.92498179169701
107,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_248738.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",62403,62786,383,1,42.55874673629243,42.55874673629243,42.55874673629243,42.55874673629243
109,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248739.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",63068,64729,1661,4,100.0,53.59723058398555,100.0,100.0
115,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248742.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",68188,68616,428,1,64.48598130841121,64.48598130841121,64.48598130841121,64.48598130841121
118,CDS,"product (RNA 2'-phosphotransferase-like protein), transl_table (11), protein_id (ref|NP_248744.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",69543,70091,548,1,44.52554744525548,44.52554744525548,44.52554744525548,44.52554744525548
140,CDS,"product (5'-nucleotidase), transl_table (11), protein_id (ref|NP_248755.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",77432,78097,665,3,31.72932330827068,26.61654135338346,31.72932330827068,31.72932330827068
142,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248756.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",78090,78632,542,1,31.18081180811808,31.18081180811808,31.18081180811808,31.18081180811808
158,CDS,"product (serine/threonine protein kinase PpkA), transl_table (11), protein_id (ref|NP_248764.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa.), ",87000,90098,3098,1,21.0458360232408,21.0458360232408,21.0458360232408,21.0458360232408
162,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248766.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",90844,91524,680,1,47.79411764705883,47.79411764705883,47.79411764705883,47.79411764705883
166,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248768.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",95048,96397,1349,1,14.23276501111935,14.23276501111935,14.23276501111935,14.23276501111935
168,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248769.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",96404,97738,1334,2,18.10344827586207,18.10344827586207,61.69415292353823,61.69415292353823
172,CDS,"product (Fha domain-containing protein), transl_table (11), protein_id (ref|NP_248771.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa.), ",98263,99756,1493,5,52.64567983924984,37.42799732083054,52.64567983924983,52.64567983924983
186,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248778.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",105359,107218,1859,2,17.85906401291017,14.87358795051103,17.85906401291017,17.85906401291017
198,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248784.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",114611,115045,434,1,97.46543778801843,97.46543778801843,97.46543778801843,97.46543778801843
200,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248785.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",115299,117524,2225,1,5.573033707865169,5.573033707865169,5.573033707865169,5.573033707865169
208,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248789.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",120164,121324,1160,1,10.68965517241379,10.68965517241379,10.68965517241379,10.68965517241379
232,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248800.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",131808,132602,794,1,52.01511335012594,52.01511335012594,52.01511335012594,52.01511335012594
236,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248802.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",133220,134293,1073,1,19.19850885368127,19.19850885368127,19.19850885368127,19.19850885368127
240,CDS,"product (cytochrome c oxidase assembly protein SenC), transl_table (11), protein_id (ref|NP_248804.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa), ",135259,135894,635,1,44.09448818897638,44.09448818897638,44.09448818897638,44.09448818897638
