,Start_x_,End_x_,Overlap_max,Overlap_count,Middle_x
0,11,450,0.0888382687927107,6,230
1,3445,3753,0.07792207792207792,1,3599
2,4532,5008,0.05672268907563025,2,4770
3,4871,5027,0.17307692307692307,2,4949
4,9967,10100,0.24060150375939848,4,10033
5,9994,10494,0.08,3,10244
6,16627,16817,0.16842105263157894,2,16722
7,18838,19295,0.07439824945295405,5,19066
8,21059,21255,0.1377551020408163,1,21157
9,21063,21255,0.11979166666666667,1,21159
10,22660,23637,0.057318321392016376,6,23148
11,22891,23141,0.08,1,23016
12,25444,26205,0.045992115637319315,11,25824
13,25489,26191,0.04985754985754986,9,25840
14,25537,26190,0.05359877488514548,9,25863
15,25564,26168,0.057947019867549666,8,25866
16,25833,25989,0.1794871794871795,2,25911
17,25833,25998,0.1696969696969697,3,25915
18,25871,26010,0.17985611510791366,2,25940
19,25873,26010,0.18248175182481752,2,25941
20,26646,26815,0.16568047337278108,4,26730
21,28380,28507,0.1968503937007874,1,28443
22,30888,31373,0.061855670103092786,9,31130
23,32693,33058,0.10410958904109589,4,32875
24,35317,36330,0.06219151036525173,7,35823
25,35362,36372,0.053465346534653464,5,35867
26,35362,36381,0.05299313052011776,5,35871
27,43482,43638,0.21794871794871795,1,43560
28,43491,43638,0.17006802721088435,1,43564
29,48228,48420,0.13541666666666666,2,48324
30,48684,49259,0.04521739130434783,2,48971
31,50700,50957,0.10116731517509728,1,50828
32,51409,52375,0.040372670807453416,11,51892
33,51409,52377,0.040289256198347105,11,51893
34,51461,52317,0.0455607476635514,9,51889
35,51489,52306,0.04773561811505508,8,51897
36,51888,52423,0.07289719626168224,7,52155
37,51911,52407,0.07862903225806452,7,52159
38,52029,52445,0.09375,7,52237
39,52042,52423,0.10236220472440945,5,52232
40,52054,52375,0.11526479750778816,4,52214
41,52060,52375,0.11746031746031746,4,52217
42,52425,52705,0.11785714285714285,1,52565
43,54671,54938,0.09737827715355805,2,54804
44,62527,62761,0.11538461538461539,2,62644
45,62631,63053,0.045023696682464455,1,62842
46,88033,88250,0.11981566820276497,1,88141
47,90812,91042,0.12173913043478261,4,90927
48,90864,91017,0.16993464052287582,3,90940
49,94292,94495,0.18226600985221675,1,94393
50,96134,96459,0.1076923076923077,1,96296
51,103779,103953,0.14367816091954022,1,103866
52,111693,112058,0.10410958904109589,4,111875
53,113505,114334,0.039806996381182146,9,113919
54,113585,114271,0.048104956268221574,6,113928
55,113709,114273,0.05673758865248227,4,113991
56,114612,114777,0.15757575757575756,3,114694
57,116698,117239,0.09057301293900184,4,116968
58,116777,117168,0.08184143222506395,3,116972
59,116778,117336,0.08781362007168458,5,117057
60,116821,117066,0.11020408163265306,2,116943
61,118673,118968,0.1016949152542373,3,118820
62,122739,122889,0.18666666666666668,1,122814
63,123610,123735,0.2,3,123672
64,130642,131215,0.09424083769633508,3,130928
65,131009,131176,0.2155688622754491,1,131092
66,131671,131920,0.13654618473895583,2,131795
67,131694,131902,0.08173076923076923,1,131798
68,132053,132384,0.1299093655589124,4,132218
69,132087,132384,0.1447811447811448,4,132235
70,132114,132366,0.11507936507936507,2,132240
71,137185,137315,0.2076923076923077,3,137250
72,144818,145149,0.0755287009063444,1,144983
73,145905,146133,0.13596491228070176,2,146019
74,147265,147520,0.10196078431372549,1,147392
75,147265,147541,0.09420289855072464,1,147403
76,147576,147902,0.07975460122699386,1,147739
77,148188,148414,0.11504424778761062,3,148301
78,148415,148644,0.14410480349344978,2,148529
79,148518,148744,0.11946902654867257,2,148631
80,152033,152888,0.03742690058479532,5,152460
81,152042,152888,0.037825059101654845,5,152465
82,152075,152420,0.07536231884057971,3,152247
83,152172,153199,0.05063291139240506,7,152685
84,154748,155013,0.12830188679245283,2,154880
85,155960,156122,0.08024691358024691,1,156041
86,155960,156134,0.14367816091954022,1,156047
87,157023,157323,0.08666666666666667,1,157173
88,161048,161965,0.03489640130861505,8,161506
89,161310,161916,0.04455445544554455,5,161613
90,166026,167049,0.033235581622678395,7,166537
91,166776,167248,0.05296610169491525,1,167012
92,167184,167804,0.07580645161290323,5,167494
93,167270,167747,0.06079664570230608,3,167508
94,167284,167747,0.06263498920086392,3,167515
95,168601,168769,0.25595238095238093,2,168685
96,168894,169627,0.04229195088676671,5,169260
97,169576,170153,0.08838821490467938,4,169864
98,169627,169779,0.20394736842105263,1,169703
99,169627,169788,0.2484472049689441,1,169707
100,172276,172425,0.2080536912751678,3,172350
101,174724,175738,0.054240631163708086,14,175231
102,175202,175343,0.19148936170212766,2,175272
103,175419,176289,0.06321839080459771,10,175854
104,175523,176206,0.08052708638360176,9,175864
105,175523,176209,0.08017492711370262,9,175866
106,175547,176171,0.08814102564102565,8,175859
107,175596,175963,0.14986376021798364,3,175779
108,175601,175963,0.15193370165745856,3,175782
109,175642,175853,0.15165876777251186,2,175747
110,175642,175863,0.14479638009049775,2,175752
111,181817,181943,0.23809523809523808,1,181880
112,182756,183091,0.07462686567164178,1,182923
113,185529,186086,0.0718132854578097,1,185807
114,185536,185868,0.0783132530120482,1,185702
115,190267,191286,0.038272816486751716,3,190776
116,191117,191316,0.1407035175879397,1,191216
117,191520,191874,0.0903954802259887,2,191697
118,191546,191704,0.20253164556962025,2,191625
119,192369,192682,0.14696485623003194,3,192525
120,194176,194313,0.1897810218978102,2,194244
121,194455,194710,0.14901960784313725,6,194582
122,195206,195416,0.10952380952380952,1,195311
123,196734,196980,0.16666666666666666,2,196857
124,197295,198315,0.058823529411764705,8,197805
125,197322,198338,0.04822834645669291,8,197830
126,197335,197857,0.06896551724137931,6,197596
127,197376,197696,0.08125,3,197536
128,197424,197561,0.16058394160583941,1,197492
129,197829,198335,0.08102766798418973,2,198082
130,197977,198343,0.11748633879781421,2,198160
131,197981,198343,0.11878453038674033,2,198162
132,198429,199139,0.036619718309859155,3,198784
133,198642,198978,0.07738095238095238,2,198810
134,199886,200028,0.2323943661971831,4,199957
135,200608,201627,0.05593719332679097,16,201117
136,200695,201713,0.055992141453831044,15,201204
137,200695,201726,0.055286129970902036,15,201210
138,200728,201744,0.045275590551181105,15,201236
139,200728,201753,0.0448780487804878,15,201240
140,200769,201749,0.04693877551020408,13,201259
141,200788,201666,0.04328018223234624,12,201227
142,200797,201666,0.04372842347525892,11,201231
143,200830,201381,0.04900181488203267,10,201105
144,202138,202370,0.11206896551724138,1,202254
145,207538,207811,0.0989010989010989,1,207674
146,211275,211423,0.22972972972972974,1,211349
147,214226,214713,0.07186858316221766,5,214469
148,214232,214713,0.060291060291060294,4,214472
149,214769,215274,0.041584158415841586,1,215021
150,221782,222183,0.06733167082294264,2,221982
151,224937,225238,0.08305647840531562,1,225087
152,225038,225230,0.13020833333333334,1,225134
153,225700,225954,0.1062992125984252,1,225827
154,225902,226036,0.17164179104477612,1,225969
155,226657,227378,0.04299583911234397,8,227017
156,230103,230275,0.16279069767441862,5,230189
157,230103,230284,0.16022099447513813,5,230193
158,232459,232617,0.2721518987341772,3,232538
159,233854,234067,0.15023474178403756,2,233960
160,235048,235212,0.1524390243902439,1,235130
161,238285,238462,0.14689265536723164,1,238373
162,240330,240726,0.08080808080808081,4,240528
163,240626,240862,0.11016949152542373,1,240744
164,244250,244477,0.12334801762114538,2,244363
165,245529,245723,0.19072164948453607,2,245626
166,246546,247008,0.05627705627705628,2,246777
167,247333,248178,0.04142011834319527,8,247755
168,249226,249600,0.053475935828877004,1,249413
169,249320,249855,0.05046728971962617,2,249587
170,249335,249975,0.0421875,3,249655
171,253092,253351,0.10810810810810811,1,253221
172,254675,255195,0.08461538461538462,2,254935
173,254742,255155,0.06053268765133172,2,254948
174,254742,255164,0.07582938388625593,2,254953
175,259480,259848,0.07336956521739131,2,259664
176,265735,266207,0.057203389830508475,1,265971
177,265800,266207,0.06633906633906633,1,266003
178,271004,271201,0.1319796954314721,1,271102
179,271385,271575,0.15789473684210525,3,271480
180,283539,283803,0.09848484848484848,3,283671
181,290780,291076,0.16554054054054054,5,290928
182,290780,291093,0.15654952076677317,5,290936
183,290882,291095,0.2300469483568075,1,290988
184,295896,296163,0.11235955056179775,6,296029
185,303726,303924,0.23232323232323232,1,303825
186,303976,304208,0.11206896551724138,1,304092
187,311255,311566,0.09646302250803858,2,311410
188,312369,312506,0.1897810218978102,1,312437
189,317861,318012,0.17880794701986755,1,317936
190,318942,319382,0.07045454545454545,8,319162
191,319001,319308,0.10097719869706841,7,319154
192,320564,320705,0.1347517730496454,1,320634
193,325566,325678,0.22321428571428573,1,325622
